x;0;1;2;3;4;5
ID;timeLimit;Count;freqdes;freqasc;limitpdes;limitpasc
165;2;50;3;4;3;0.75
166;2;50;3;4;2;2
167;2;50;3;4;1.75;2.25
168;2;50;3;4;4.25;2
169;2;50;3;4;2;2.5
170;2;50;10;11;3.75;0.5
171;2;50;3;4;0.5;0.5
172;2;50;3;4;1.25;2.25
173;2;50;1;2;1;0.75
174;2;50;1;2;0.75;0.5
175;2;50;10;11;2;0.75
176;2;50;1;2;3;0.25
177;2;50;3;4;1;2.25
178;2;50;3;4;1.75;2.75
179;2;50;10;11;1.5;0.5
180;2;50;3;4;2.75;1.25
181;2;50;10;11;5;0.5
182;2;50;10;11;1.5;0.75
183;2;50;10;11;1.25;1.5
184;2;50;3;4;2;2.25
185;2;50;3;4;4.25;0.5
186;2;50;3;4;2.75;2.75
187;2;50;3;4;2.75;1.5
188;2;50;10;11;2.5;0.5
189;2;50;10;11;4.25;0.5
190;2;50;3;4;3;1.25
191;2;50;3;4;3.25;1.25
192;2;50;3;4;2.5;1.5
193;2;50;3;4;3.25;2.5
194;2;50;1;2;2.75;0
195;2;50;1;2;1.5;0.75
196;2;50;10;11;5;0.75
197;2;50;10;11;2.25;1
198;2;50;10;11;4.5;0.5
199;2;50;10;11;4;0.5
200;2;50;3;4;2.25;2.5
201;2;50;10;11;1;0.75
202;2;50;3;4;4;1.25
203;2;50;3;4;2.25;2
204;2;50;10;11;2.25;0.5
205;2;50;10;11;1;1.5
206;2;50;3;4;2.25;1.75
207;2;50;10;11;0.5;0.25
208;2;50;1;2;1.25;1
209;2;50;10;11;1.25;1
210;2;50;3;4;2.5;2
211;2;50;10;11;3;0.75
212;2;50;10;11;1.25;1.25
213;2;50;1;2;1.75;0.5
214;2;50;3;4;1.5;2.5
215;2;50;10;11;1;1.25
216;2;50;10;11;1.25;0.75
217;2;50;10;11;0.75;1
218;2;50;10;11;1.5;1
219;2;50;10;11;2.25;0.75
220;2;50;3;4;5;0.5
221;2;50;3;4;2.75;1.75
222;2;50;10;11;2.5;0.75
223;2;50;10;11;0.5;0.75
224;2;50;3;4;2.5;2.25
225;2;50;10;11;2.75;1
226;2;50;10;11;4.25;0.75
227;2;50;1;2;1;1
228;2;50;3;4;1;2
229;2;50;3;4;3.5;1
230;2;50;10;11;1.75;0.75
231;2;50;10;11;1;1
232;2;50;10;11;1.75;1.25
233;2;50;3;4;0.5;0.25
234;2;50;3;4;2.5;2.5
235;2;50;3;4;0.75;1.5
236;2;50;3;4;2.75;2.25
237;2;50;10;11;2;1
238;2;50;3;4;1;3
239;2;50;10;11;0.75;1.25
240;2;50;10;11;2.75;0.75
241;2;50;10;11;4;0.75
242;2;50;10;11;4.75;0.75
243;2;50;10;11;0.75;0.75
244;2;50;3;4;1.5;2.25
245;2;50;1;2;1.5;1
246;2;50;3;4;3;2.75
247;2;50;10;11;1.75;1
248;2;50;10;11;2.5;1.25
249;2;50;10;11;3.75;0.75
250;2;50;3;4;1.25;2.5
251;2;50;1;2;2;0.5
252;2;50;3;4;3.25;1.5
253;2;50;3;4;2.5;2.75
254;2;50;3;4;3.75;1.25
255;2;50;10;11;3;1
256;2;50;10;11;3.25;1
257;2;50;10;11;1.5;1.5
258;2;50;3;4;2.25;2.25
259;2;50;10;11;0.5;0.5
260;2;50;10;11;4;1.25
261;2;50;10;11;1.5;1.25
262;2;50;10;11;3.5;0.75
263;2;50;10;11;2.25;1.25
264;2;50;10;11;1;2.5
265;2;50;10;11;1.75;2
266;2;50;3;4;1.75;3
267;2;50;10;11;1.75;1.75
268;2;50;3;4;2.5;1.75
269;2;50;3;4;4.25;1
270;2;50;10;11;4;1
271;2;50;10;11;0.75;1.5
272;2;50;3;4;1;2.75
273;2;50;3;4;4.5;2.5
274;2;50;10;11;5;1
275;2;50;10;11;4.5;0.75
276;2;50;1;2;3.25;0.25
277;2;50;3;4;3.25;2.75
278;2;50;10;11;3.5;1.25
279;2;50;3;4;4;2.5
280;2;50;10;11;0.75;1.75
281;2;50;10;11;2.75;1.25
282;2;50;10;11;1;2
283;2;50;3;4;2.75;2.5
284;2;50;1;2;1.75;0.75
285;2;50;3;4;3.5;2.75
286;2;50;10;11;3.5;1.75
287;2;50;10;11;3.5;1
288;2;50;10;11;3.75;1
289;2;50;3;4;4.25;0.75
290;2;50;10;11;1.25;1.75
291;2;50;3;4;3.75;2.25
292;2;50;10;11;2.5;1.5
293;2;50;3;4;4;2.25
294;2;50;10;11;4.25;2.25
295;2;50;10;11;1.5;1.75
296;2;50;10;11;2;1.25
297;2;50;10;11;4.75;1
298;2;50;3;4;4.25;2.75
299;2;50;3;4;3.75;1
300;2;50;3;4;3;2.25
301;2;50;10;11;4.25;1
302;2;50;10;11;2.5;1
303;2;50;1;2;2.75;0.5
304;2;50;10;11;2;1.5
305;2;50;3;4;3.5;1.25
